Row.names,p1p1x.x,p2p2x.x,h_cgvc.x,ang_NHs.x,ang_CHs.x,dist_NC.x,dist_NH.x,dist_CH.x,h_scvc.x,h_norm.x,h_sc_x.x,n_psi.x,r_curv.x,r3r3x.x,dfg,V16,V17,source,V19,p1p1x.y,p2p2x.y,h_cgvc.y,ang_NHs.y,ang_CHs.y,dist_NC.y,dist_NH.y,dist_CH.y,h_scvc.y,h_norm.y,h_sc_x.y,n_psi.y,r_curv.y,r3r3x.y
1A06_A,0.063447558341961,0.0123845554299519,-0.123045812942423,0.306915569376384,0.142781351830985,0.0349005723608766,0.226326442298791,0.47428294339149,-0.0706795137603954,-0.00100582367234962,-0.00786372693619161,0.239522006237727,0.0133178484243122,0.119821379074833,di,co,0.8555,test,co-di,0.857260627,0.775618978,0.600557048,85.25317534,50.88562684,11.32044888,12.22832108,13.30677509,0.716392852,0.733231338,0.989822835,99.47558944,0.024357716,0.997508361
1A9U_A,0.10284311794775,0.0695149765305918,0.0980866630090047,-0.106230657994876,-0.0188036173306379,0.108624603334396,-0.0564931329374545,0.0543459244323511,0.0774337466615025,0.120579327914806,0.00341071563928213,0.037528381816289,0.0354563125514521,0.075258758044987,di,ci,0.9685,test,ci-di,0.924221436,0.875755315,0.999738275,36.02519494,31.30628294,12.75830841,8.343207359,9.665707588,0.979963166,0.938546178,0.993819023,94.75621175,0.029385826,0.918843862
1AD5_A,0.0751922082389423,0.0554974813107154,-0.122903487670063,0.241458276230187,0.150028038393726,-0.0259755112472348,0.339837919683115,0.240920975677906,-0.191034315395355,-0.213401943133266,-0.0161286048644227,0.0328123947617746,-0.00434159340871387,0.0488846669113689,di,co,0.9935,test,co-di,0.877223061,0.851185907,0.600813969,77.45368419,51.76371203,10.13316631,13.78763676,11.28340816,0.502219234,0.374568502,0.986893377,94.64602746,0.020346886,0.872286801
1AGW_A,0.0630126668591188,0.0513579673100194,0.0670053143742639,-0.021889134231754,-0.126762567728008,0.0433738933690871,-0.150493826134551,-0.0967320854131197,0.0772918554846759,-0.000135985356403987,0.0148038248863855,0.137608316303489,0.00116080851622256,0.033940401461017,di,ci,0.9845,test,ci-di,0.85652144,0.843930302,0.943631225,46.07481564,18.22483466,11.48570633,7.051912785,8.355784416,0.979710668,0.734700191,0.997857272,97.09447867,0.021596597,0.845906325
1APM_E,0.145380211905608,0.137074119368281,0.0897286932241399,-0.134711796473818,-0.115737614258783,-0.0705053237630964,-0.137672575628495,-0.142451212491927,0.0865171483486143,0.154395363494686,0.0186768143416986,0.0424020632319867,-0.0213542654439519,0.11846438438104,di,ci,0.9995,test,ci-di,0.996521925,0.994170775,0.984650737,32.63155648,19.56073463,9.264689445,7.228039265,7.959376335,0.996127249,0.995649647,0.99923004,94.87008041,0.016482951,0.995112916
1AQ1_A,0.107529522032728,0.0957076203557457,-0.397893749331248,0.476982670407687,0.365120150925988,-0.0197133166063321,0.467580289726392,0.511418955558091,-0.40044624780765,-0.438294505562072,-0.0670548043743695,0.00692886013091633,0.00442233438285722,0.0854668871459543,di,co,0.975,test,co-di,0.932186938,0.921664926,0.104410401,105.5173321,77.82654735,10.25529957,15.54244328,13.6287632,0.129566788,-0.00519646,0.968842758,94.04128473,0.022337358,0.936863838
1ATP_E,0.147426494096971,0.140399845961819,0.0982316495297971,-0.148410286813087,-0.0245651074463928,-0.0481939641362945,-0.168324078405545,-0.118954583492596,0.088693439633877,0.156971593878046,0.0137005698851378,0.0385359771227022,-0.0123255624826351,0.121232866669767,di,ci,1,training,ci-di,1,1,1,30.99932806,30.60815986,9.69983387,6.806977272,8.163104057,1,1,0.997466227,94.7797532,0.018533559,1
1B38_A,-0.0384468547377086,0.0536487339607438,-0.335032412858217,0.39328070662521,0.285773827243033,-0.0302096047456391,0.42395303433876,0.400409086015953,-0.424190069900113,-0.355645989378948,-0.0299885397617226,-0.00689961883194249,0.0534299129236509,0.0125231980458448,di,co,0.9975,test,co-di,0.684070237,0.847945483,0.217885662,95.54391746,68.21210755,10.05058765,14.9431324,12.66625118,0.087314213,0.134368007,0.98198077,93.71819624,0.033468008,0.808099447
1B39_A,0.0145997573459713,0.0696513032367662,-0.391699567301528,0.421374153525246,0.281219783472586,-0.0229170279114784,0.451218237416203,0.436684201733376,-0.459960858730419,-0.40165352088916,-0.00909805386227656,-0.00180772001085639,0.0375697103024231,0.0196065466885941,di,co,0.995,test,co-di,0.774233801,0.875994264,0.115591939,98.89136096,67.66029144,10.19281673,15.31767654,12.98077488,0.023659426,0.056677361,0.989385332,93.83716333,0.029865823,0.820603381
1B6C_B,0.141735495964015,0.138926242522799,-0.0142026671276512,-0.100981321556336,-0.125961811450046,-0.02443233345333,-0.040154824036952,-0.292458024036239,-0.00274615278459988,0.131402447230841,0.0181710541151293,-0.214311390241819,-0.00445379791892071,0.120167554641558,di,ci,0.7585,test,ci-di,0.990326985,0.997417116,0.797037191,36.6506738,18.32186276,10.16326332,8.567647934,6.658740997,0.837281537,0.956822645,0.999050775,88.872229,0.020321402,0.99811945
1BKX_A,0.137971513995385,0.127760113167232,0.0731070977919462,-0.0687311904113733,-0.190998605731018,-0.0673681142874749,-0.107240728491128,-0.178728527618987,0.0814893545470804,0.133728967580453,0.0106282426127299,0.0508794055834045,-0.0243224630781862,0.113569656434061,di,ci,0.999,test,ci-di,0.983929328,0.977845489,0.954645968,40.4934024,10.44131689,9.325875282,7.646083832,7.644833565,0.987180196,0.960751325,0.996377251,95.06814498,0.015808811,0.986472461
1BL6_A,0.108760608983099,0.066308394670995,0.0977876182346297,-0.13051922066063,-0.0177156745842556,0.0944055016538973,-0.0551673544162736,0.0613148179914606,0.0805800603563536,0.125962148945776,0.0128795774191734,0.0715053924842614,0.0376417820190915,0.0794882317558301,di,ci,0.9725,test,ci-di,0.934279422,0.870134923,0.999198449,33.1311182,31.43810959,12.48098946,8.361419678,9.726131439,0.98556209,0.947635882,0.997175229,95.5500504,0.029882192,0.926309972
1BL7_A,0.10808898928917,0.0737570232488419,0.0967496083658609,-0.127070712284217,-0.039195699280017,0.0882933757096038,-0.0621730075766623,0.0834645023486126,0.078476457265542,0.126160146091345,0.00951929422940982,0.170012254701255,0.0421741459252425,0.0794285928631095,di,ci,0.9665,test,ci-di,0.933137867,0.883190636,0.997324667,33.54202139,28.83536261,12.36178303,8.265182495,9.918180466,0.981818689,0.94797023,0.995984188,97.85156407,0.030911587,0.926204694
1BLX_A,0.12274138230828,0.112873183109406,-0.238704175570898,0.31466370764479,0.250776458448117,-0.0325898699469847,0.236144506176537,0.416350462422385,-0.192650800250951,-0.208909710714282,-0.00393754752438131,0.392117284468951,-0.00594109767305406,0.0986591894530605,di,co,0.8925,test,co-di,0.958042605,0.951752164,0.391774295,86.17639616,63.97145619,10.0041647,12.36319256,12.80447102,0.499342669,0.382154313,0.991214456,103.0408245,0.019983605,0.960151648
1BMK_A,0.108907858698282,0.0587596010600399,0.0981782074068288,-0.104531942502748,-0.0227294147720607,0.111141050328844,-0.066933855349864,0.0659733592861204,0.0781875864573024,0.122898676265692,0.00302324967282982,0.08428496599363,0.0264608561862966,0.0843497169597614,di,ci,0.9755,test,ci-di,0.934529703,0.856903644,0.999903528,36.2276035,30.8305918,12.80738735,8.199782372,9.766523361,0.981304638,0.942462747,0.993681687,95.84863227,0.027342769,0.934891745
1BUH_A,0.0494848652186218,0.0125613244685649,-0.55866849427986,0.563925011469355,0.415920684829863,-0.00575034328413232,0.531807824261615,0.466093924280118,-0.554801714119943,-0.608474471062634,0.0178935228988432,-0.0194952456185637,0.0120289979593031,0.0342072854776172,di,co,0.9455,test,co-di,0.833528175,0.775928813,-0.185814993,115.8768503,83.98207734,10.52762318,16.42474174,13.23577213,-0.145111648,-0.292570962,0.998952405,93.4239121,0.024064991,0.846377444
1BX6_A,0.121763594096635,0.135684936716594,0.0942265149567219,-0.116248491768124,-0.073806710996561,-0.0264816561675765,-0.163371031929422,-0.195331276652503,0.0881878658464213,0.149593821383152,0.019393652899849,0.0566338859158548,-0.0183199400613736,0.117911828153574,di,ci,0.999,test,ci-di,0.956380654,0.991735861,0.99277006,34.83153107,24.64152636,10.12329483,6.875017643,7.500879288,0.999100322,0.98754152,0.999484121,95.20259262,0.01717211,0.994137512
1BYG_A,-0.484993517217729,-0.844896988497219,-0.210215380369683,0.260293056174812,0.313617337786387,0.0865959242827563,0.375786183736893,0.246991356655043,-0.151919261028767,-0.447832340645053,-0.0287849424280721,0.190982034715422,-0.000985113748831687,-0.468147074983957,other,ot,0.689,test,omega,-0.074927124,-0.726996125,0.443201351,79.6979215,71.58592178,12.32867718,14.28146076,11.33604145,0.571825204,-0.021302531,0.982407381,98.34150187,0.021109213,-0.040407336
1CDK_A,0.1464069980467,0.140026583646844,0.0967752408858861,-0.144359232690107,-0.0732006485183784,-0.0637089656153482,-0.134146492241475,-0.151174015981428,0.0886847400904808,0.156086779106995,0.0193228128946672,0.0211361908543406,-0.0156368944008888,0.121193787950799,di,ci,0.999,test,ci-di,0.998267158,0.999345758,0.997370938,31.48202692,24.7149633,9.397240639,7.276477337,7.883745193,0.999984519,0.998505857,0.999459012,94.37322471,0.017781486,0.999931016
1CKI_A,0.144293275896443,0.137582950730408,0.0546433755589346,-0.0428597343212756,-0.136031808995584,0.0059191092738511,-0.135383512930396,-0.176514417114497,0.0653758771854363,0.0443616701677383,0.0181298405743394,-0.0783625351973494,-0.0450358982245351,0.117561184116837,di,ci,1,training,ci-di,0.994674455,0.995062638,0.921315851,43.57608705,17.10167535,10.75521564,7.259484291,7.664031029,0.958505962,0.809841184,0.999036167,92.04853714,0.011104355,0.993518535
1CKJ_A,0.144614967700926,0.139172335650404,0.0407927590775423,-0.0229826020093119,-0.151053658602255,0.00255647947315443,-0.111744744515511,-0.167104117501302,0.0598399858803179,0.0314596963000522,0.0142964734469878,-0.112885399471331,-0.0433280772455662,0.118151245921636,di,ci,0.989,test,ci-di,0.995221236,0.99784846,0.896313164,45.9445247,15.28146917,10.68963337,7.584211826,7.745623112,0.94865474,0.788054258,0.997677443,91.24194517,0.011492237,0.994560146
1CKP_A,-0.0122726070223873,0.0335734188148687,-0.313906182476442,0.380145947269727,0.269551412334478,-0.0224890216909876,0.405001212375374,0.402134178605431,-0.400670666918277,-0.329214369468077,-0.0414084598164744,0.031212371619276,0.0501205579252325,0.0208428077186584,di,co,0.9985,test,co-di,0.728558723,0.812758126,0.256022053,93.97885978,66.24642818,10.20116425,14.6827898,12.68120861,0.12916743,0.179001778,0.977933018,94.60864453,0.032716384,0.8227857
1CM8_A,0.146406260859726,0.139188787919406,0.0894567362361579,-0.140611298925195,-0.0924748407647896,-0.0385622939188805,-0.14482096325002,-0.147962345763217,0.08662152095333,0.14941155869437,0.0168691768188956,-0.0346113760371712,-0.0277736807872805,0.119001716200351,di,ci,0.9965,test,ci-di,0.998265905,0.997877297,0.984159809,31.92860781,22.37949831,9.887682915,7.129841328,7.911592007,0.996312982,0.987233742,0.998589329,93.07073893,0.015024967,0.996061445
1CMK_E,0.147149557131385,0.133688246743505,0.0656823315530752,-0.026682804139371,-0.172971556017973,0.045223075778069,0.00182549989156471,-0.182326319711264,0.0724238571395466,0.11564315582174,0.0151266520636101,-0.0883559274605849,-0.0142351217465345,0.120996845573381,di,ci,0.993,test,ci-di,0.999529289,0.988236128,0.941243019,45.50363122,12.6256649,11.52177143,9.144334793,7.613638878,0.971047974,0.930210708,0.997971697,91.81505159,0.018099858,0.999583362
1CSN_A,0.138653540792577,0.130095795077155,0.0621382089679628,-0.0983331604407393,-0.148082563144984,-0.0343559257740706,-0.145892131455982,-0.20823713213992,0.0689664778708739,0.0851814198094219,0.018773074253953,-0.154499520697378,-0.0569041845543645,0.119312124746345,di,ci,0.9855,test,ci-di,0.985088572,0.981939396,0.934845283,36.9662125,15.64147852,9.96972084,7.11512661,7.388978958,0.964895503,0.878771479,0.999264159,90.26967312,0.008408818,0.996609396
1CTP_E,0.141606002865011,0.130786048690988,0.0589199048453959,-0.0028613455664406,-0.191425101926759,0.0208685547121641,-0.0124365636679989,-0.161535514129074,0.0750395402715082,0.107044915936046,0.00313047033302851,-0.073648525544531,0.00567769609003267,0.104286429814095,di,ci,0.9665,test,ci-di,0.990106885,0.98314925,0.929035704,48.34205069,10.3896381,11.04677868,8.948415756,7.793905735,0.975702631,0.915691285,0.993719691,92.15867523,0.022622477,0.970085176
1DAW_A,0.146340515901368,0.137398702661578,0.0957323932397323,-0.185009741821155,-0.0407521306772267,-0.0381523804611518,-0.153147882398905,-0.103571739955045,0.0873079099259374,0.137169566823873,0.0193551167721348,-0.00910611021858663,0.00463833378882669,0.119979527111066,di,ci,0.997,test,ci-di,0.998154158,0.994739694,0.995488423,26.6383606,28.64676892,9.895677567,7.015453815,8.296481133,0.997534424,0.966561295,0.999470462,93.66664379,0.022386416,0.997787533
1DAY_A,0.146208767704461,0.138828846254176,0.0963147285744607,-0.182328912196132,-0.0483120499655395,-0.0392794835221843,-0.101567449069599,-0.0741759859084987,0.0846534820476069,0.123333089398324,0.0197403031287186,0.160872913786765,0.00506065493974563,0.119490235876287,di,ci,0.994,test,ci-di,0.997930225,0.997246403,0.996539636,26.95779188,27.73072914,9.873695374,7.724018097,8.551357269,0.99281082,0.943196319,0.99960699,97.63803257,0.022482334,0.996923808
1DI8_A,0.00180064061360008,-0.041100873660171,-0.467839149091821,0.473007114113193,0.417346169833719,-0.0204425354244666,0.476835746208384,0.467052382481038,-0.492810109814565,-0.50495415649859,-0.061346142144691,0.0866697830604953,-0.0405442835234525,0.0106939798826066,di,co,0.9955,test,co-di,0.752479085,0.681871464,-0.021852783,105.0436291,84.15480418,10.24107742,15.66958618,13.24408245,-0.03479643,-0.11776132,0.970866174,95.90435112,0.012124495,0.804870406
1DI9_A,0.0803328383443025,0.0774922696788513,0.0909359687969403,-0.173317270074225,0.0104617038096971,0.0543505569012168,-0.121154633727726,0.0467032285253726,0.070709576176643,0.106232133827947,0.0186214265930137,0.172800662878346,0.0878113887555489,0.0542521899158064,di,ci,0.889,test,ci-di,0.885960613,0.889737654,0.986830072,28.0315641,34.85237878,11.69978714,7.454947472,9.599441528,0.967997379,0.91431878,0.999210408,97.91671242,0.041276763,0.881761861
1DM2_A,0.122068091147317,0.108297137130608,-0.241871003038739,0.314966252360723,0.233330833548888,-0.0404634062917485,0.342901504176257,0.521738822006853,-0.328242167408627,-0.2391505229911,-0.0447488189902837,0.0251384514590356,-0.00622220334540356,0.09502741722584,di,co,0.966,test,co-di,0.956898209,0.94373142,0.38605764,86.21244554,61.85755976,9.850605011,13.82972145,13.71824169,0.258055298,0.331088147,0.976749039,94.4667335,0.01991976,0.953740635
1DS5_A,0.140761980259798,0.134212786978771,0.0949763632498452,-0.165004464805596,-0.117718380270869,-0.060339538697349,-0.0945680787605375,-0.0985087633275896,0.0868185259095071,0.123371116210823,0.0200583482035583,0.143120734847762,0.0395908224414833,0.115768899376429,di,ci,0.99,test,ci-di,0.988672296,0.989155525,0.994123662,29.02206719,19.32072407,9.462955475,7.820168972,8.340379715,0.996663556,0.943260533,0.99971972,97.22327078,0.03032486,0.990354691
