X1	HG00096	X11.136644728606	X.41.5698105615045	X.5.62033784200456	male	SAME123268	GBR	British	EUR	European
1	2	HG00097	-7.21117445833154	-23.6940862412378	15.126616464672	female	SAME123267	GBR	British	EUR	European
2	3	HG00099	10.7475337596595	-39.3908474394817	-7.19943124128325	female	SAME123271	GBR	British	EUR	European
3	4	HG00100	17.120525584107	-15.3367743569567	8.11512096240748	female	SAME125154	GBR	British	EUR	European
4	5	HG00101	-2.61862030379726	-14.0727084615125	11.6895653661607	male	SAME125153	GBR	British	EUR	European
5	6	HG00102	12.9495510538408	-41.3333584855864	-6.85173396703689	female	SAME123945	GBR	British	EUR	European
6	7	HG00103	-2.71576911636607	-14.5038824758887	11.3765625157971	male	SAME125151	GBR	British	EUR	European
7	8	HG00105	9.07198693187776	-35.9550402959502	-6.62662557327328	male	SAME123949	GBR	British	EUR	European
8	9	HG00106	-1.40528984648771	-12.955486580824	9.23475989240029	female	SAME123948	GBR	British	EUR	European
9	10	HG00107	-3.07051726661097	-14.6836470611955	12.4300717172045	male	SAME123947	GBR	British	EUR	European
10	11	HG00108	17.1493664479942	-15.3448544140403	8.09884526858584	male	SAME125161	GBR	British	EUR	European
11	12	HG00109	15.6354738851098	-12.1128933888352	9.50218317027999	male	SAME125160	GBR	British	EUR	European
12	13	HG00110	10.7290599465549	-37.6492965506872	-7.1412480510697	female	SAME125339	GBR	British	EUR	European
13	14	HG00111	10.7453347577098	-37.5518981374036	-7.38524993266761	female	SAME125340	GBR	British	EUR	European
14	15	HG00112	9.0792780569234	-33.6263452272396	-3.35802532478196	male	SAME125341	GBR	British	EUR	European
15	16	HG00113	17.1205275638624	-15.3367743572545	8.11512085519026	male	SAME125342	GBR	British	EUR	European
16	17	HG00114	21.1618639768312	-7.77056066796615	4.69281119391788	male	SAME125343	GBR	British	EUR	European
17	18	HG00115	-5.78268982018161	-23.7771388008139	12.2251900971798	male	SAME125344	GBR	British	EUR	European
18	19	HG00116	21.161858786901	-7.77052355378946	4.6928061254202	male	SAME125345	GBR	British	EUR	European
